Название теста,Кол-во прогонов,Длительность_среднее,Длительность_дисперсия,Длительность_ДИ_нижн,Длительность_ДИ_верхн,ОЗУ_среднее,ОЗУ_дисперсия,ОЗУ_ДИ_нижн,ОЗУ_ДИ_верхн,CPU_User_среднее_%,CPU_User_дисперсия,CPU_User_ДИ_нижн_%,CPU_User_ДИ_верхн_%,CPU_System_среднее_%,CPU_System_дисперсия,CPU_System_ДИ_нижн_%,CPU_System_ДИ_верхн_%
Add a visit to a pet,52,1827.8461538461538,749845.2307692306,1592.4820562587433,2063.2102514335643,28.244999999999997,1.2779823529411771,27.937732357736937,28.552267642263057,12.20384615384615,21.295628054298646,10.94955134175364,13.45814096593866,8.25076923076923,3.105556259426847,7.77178181873345,8.72975664280501
Visit with empty description shows error,51,421.80392156862746,43098.960784313706,364.8262913264,478.7815518108549,33.597254901960795,1.9784603137254906,33.21121281492253,33.98329698899906,14.005686274509808,38.863501019607845,12.294718050071447,15.716654498948168,0.6025490196078431,2.1362433725490213,0.2014086710820699,1.0036893681336163
Add multiple visits,51,1022.6470588235294,118021.19294117646,928.3602399577936,1116.9338776892653,34.93274509803922,2.6740203137254905,34.48394459567136,35.38154560040708,20.4435294117647,24.096867294117654,19.096269844673316,21.790788978856085,1.9233333333333338,3.1753986666666663,1.4342643595324593,2.4124023071342084
Trigger exception page,50,303.5,13043.724489795919,271.8428453584344,335.1571546415656,37.3268,2.0074181224489815,36.93407369685237,37.719526303147624,7.792200000000001,49.666776693877544,5.838742094913741,9.745657905086262,1.0826,5.759676775510206,0.41737260578355606,1.747827394216444
Non-existent owner,50,306.04,12650.406530612247,274.86379056780635,337.2162094321937,38.9186,3.853534734693879,38.37447245912745,39.46272754087254,6.577800000000001,39.25073587755103,4.841219296737409,8.314380703262593,1.3022,6.484968530612245,0.5963295429443163,2.008070457055684
Create new owner - valid,50,423.84,8077.075918367347,398.92859905665676,448.7514009433432,37.8062,9.301068938775511,36.96084816277244,38.65155183722755,16.377200000000006,58.72881648979592,14.252993694448683,18.501406305551328,1.7152,6.681335673469384,0.998722238681479,2.431677761318521
Find owners by last name – multiple results,50,418.06,24150.54734693878,374.9840803492253,461.1359196507747,36.194,1.879016326530613,35.81404134119618,36.573958658803825,12.5682,62.63148036734693,10.374549640534298,14.7618503594657,0.688,2.3629836734693868,0.2619099137506249,1.114090086249375
Find owners by last name - single result,50,422.88,52884.76081632652,359.13643606574857,486.6235639342514,39.01339999999999,3.3506963673469388,38.50601385188792,39.52078614811206,11.781600000000001,41.998230040816324,9.985268179178469,13.577931820821533,1.0836,4.982043918367346,0.4649075090677115,1.7022924909322883
Find owners – no results,50,406.82,43670.35469387756,348.8952152197352,464.7447847802648,35.1738,22.57676281632653,33.85675108644212,36.49084891355788,12.444800000000003,42.18942546938776,10.644383954286123,14.245216045713882,0.9841999999999999,3.388237102040814,0.4739794270866766,1.494420572913323
Edit owner address successfully,50,430.92,15786.646530612243,396.09300434662794,465.7469956533721,35.971,1.8230295918367336,35.59674472669045,36.34525527330954,11.3068,40.75354873469388,9.537286887196368,13.076313112803634,1.2323999999999997,3.252626775510206,0.7324941884554648,1.7323058115445347
Telephone validation with multiple incorrect formats,50,874.26,41724.8493877551,817.6401834323,930.8798165677,36.89799999999999,2.272526530612244,36.48014505100453,37.31585494899545,22.9008,45.755378938775515,21.025839393847434,24.775760606152566,1.8053999999999997,3.6623192244897966,1.2749442425083877,2.3358557574916117
Add a new pet to existing owner,50,423.42,7757.024081632651,399.0071412112387,447.8328587887613,32.8614,6.594661265306126,32.14958470490162,33.573215295098386,12.2284,51.27878106122447,10.243494131578025,14.213305868421976,0.6646000000000001,3.4728947346938774,0.1480446319551022,1.181155368044898
Duplicate pet name validation,50,416.3,9026.010204081633,389.96586975045506,442.63413024954497,38.1308,1.351832000000001,37.80852068601289,38.45307931398711,10.804600000000002,38.44203351020409,9.086002223131896,12.523197776868109,1.2772000000000001,5.888400163265302,0.6045800766078963,1.9498199233921039
Birth date in future is rejected,50,435.94,20695.853469387766,396.0638942001604,475.8161057998396,38.48600000000001,0.914697959183674,38.2208998800453,38.75110011995472,13.418600000000001,50.79865310204081,11.443008413883074,15.394191586116929,1.198,4.184624489795919,0.6309787757058823,1.7650212242941175
Validate pet creation requires name,50,408.34,11515.249387755104,378.59542669729484,438.0845733027051,34.7988,1.608427102040817,34.44726241864631,35.15033758135369,11.375399999999997,44.46683351020408,9.52702889217127,13.223771107828725,1.7536,6.164301061224496,1.0654026597435875,2.4417973402564126
Validate pet creation requires birth date,50,385.08,4219.258775510205,367.07516480941854,403.08483519058143,40.5274,1.7978971836734685,40.155733433820046,40.899066566179954,13.383800000000006,46.56294648979591,11.492365543111795,15.275234456888217,0.7003999999999999,2.8464610612244905,0.23274703437698574,1.168052965623014
Edit pet name successfully,50,410.08,8786.932244897958,384.09697519071347,436.0630248092865,40.944399999999995,3.437490448979592,40.4304843783499,41.45831562165009,11.177,33.95494387755103,9.561813865834651,12.792186134165348,1.0311999999999997,3.4067413877551,0.5195880823280207,1.5428119176719788
View vets as HTML with loop,50,278.3,9071.275510204077,251.89991969709183,304.7000803029082,30.4106,5.588234326530612,29.7553479723221,31.0658520276779,8.1202,44.47354893877552,6.271689325953458,9.968710674046543,0.1518,0.6543334285714286,-0.0724180768448432,0.3760180768448432
Итогово:,52,9344.307692307691,5623748.452488687,8699.74176718562,9988.873617429763,35.754273504273506,4.2458090963260915,35.19421340749051,36.314333601056504,12.547852564102563,5.708123118238274,11.89846933940416,13.197235788800965,1.561923076923077,0.24270217213191062,1.4280197920448063,1.6958263618013476
